Rk,Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
2819,Gabriele Zappa,DF,Cagliari,it Serie A,23.0,38,25,2561,28.5,1,3,4,1,0,0,2,0,1.5,3.3,4.8,35.0,99.0,84.0,0.04,0.11,0.14,0.04,0.14,0.05,0.12,0.17,0.05,0.17
23,Tosin Adarabioyo,DF,Fulham,eng Premier League,25.0,20,18,1617,18.0,2,0,2,2,0,0,2,0,0.7,0.1,0.8,10.0,62.0,5.0,0.11,0.0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05
2815,Alessandro Zanoli,DF,Salernitana,it Serie A,22.0,17,10,921,10.2,0,2,2,0,0,0,3,0,0.2,1.8,1.9,27.0,28.0,45.0,0.0,0.2,0.2,0.0,0.2,0.02,0.17,0.19,0.02,0.19
27,Nathaniel Adjei,DF,Lorient,fr Ligue 1,20.0,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.4,0.1,0.5,10.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.03,0.03,0.03
2764,Silvan Widmer,DF,Mainz 05,de Bundesliga,30.0,20,13,1242,13.8,1,3,4,1,0,0,4,0,1.4,3.5,4.8,31.0,54.0,63.0,0.07,0.22,0.29,0.07,0.29,0.1,0.25,0.35,0.1,0.35
2383,Nico Schlotterbeck,DF,Dortmund,de Bundesliga,23.0,33,32,2859,31.8,2,1,3,2,0,0,4,0,3.0,1.9,4.9,55.0,186.0,11.0,0.06,0.03,0.09,0.06,0.09,0.1,0.06,0.15,0.1,0.15
2762,Ben White,DF,Arsenal,eng Premier League,25.0,37,35,2988,33.2,4,4,8,4,0,0,8,0,1.2,3.8,5.0,44.0,192.0,162.0,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15
61,Kevin Akpoguma,DF,Hoffenheim,de Bundesliga,28.0,17,11,1097,12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.6,10.0,55.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.05,0.02,0.05
2676,Johan Vásquez,DF,Genoa,it Serie A,24.0,37,32,2850,31.7,1,1,2,1,0,0,6,0,1.9,0.8,2.7,29.0,81.0,61.0,0.03,0.03,0.06,0.03,0.06,0.06,0.03,0.08,0.06,0.08
2674,Raphaël Varane,DF,Manchester Utd,eng Premier League,30.0,22,16,1375,15.3,1,0,1,1,0,0,2,0,1.3,0.1,1.3,16.0,59.0,2.0,0.07,0.0,0.07,0.07,0.07,0.08,0.0,0.09,0.08,0.09
2673,Vanderson,DF,Monaco,fr Ligue 1,22.0,20,20,1641,18.2,3,1,4,3,0,0,6,1,2.1,1.4,3.5,26.0,71.0,129.0,0.16,0.05,0.22,0.16,0.22,0.12,0.08,0.19,0.12,0.19
